Sales Person,Geography,Product,Date,Amount,Customers,Boxes
Camilla Castle,India,Orange Choco,3/26/2021,14504.00,150,1813
Kelci Walkden,New Zealand,Manuka Honey Choco,3/26/2021,6433.00,130,202
Curtice Advani,Canada,After Nines,3/26/2021,9261.00,143,343
Oby Sorrel,New Zealand,85% Dark Bars,3/26/2021,756.00,71,38
Gunar Cockshoot,USA,Baker's Choco Chips,3/26/2021,4018.00,10,447
Karlen McCaffrey,Australia,99% Dark & Pure,3/26/2021,168.00,281,9
Gunar Cockshoot,Canada,Caramel Stuffed Bars,3/26/2021,4004.00,16,149
Jan Morforth,Australia,99% Dark & Pure,3/26/2021,6272.00,133,299
Ches Bonnell,India,70% Dark Bites,3/26/2021,5215.00,87,348
Gunar Cockshoot,New Zealand,Spicy Special Slims,3/26/2021,3094.00,21,148
Mallorie Waber,Australia,99% Dark & Pure,3/26/2021,9324.00,171,583
Van Tuxwell,UK,Organic Choco Syrup,3/26/2021,20447.00,78,758
Kaine Padly,India,Baker's Choco Chips,3/26/2021,14189.00,19,1183
Jan Morforth,India,Smooth Sliky Salty,3/26/2021,6503.00,231,434
Curtice Advani,USA,Fruit & Nut Bars,3/26/2021,2212.00,24,202
Husein Augar,New Zealand,Choco Coated Almonds,3/26/2021,2975.00,45,142
Dotty Strutley,USA,White Choc,3/29/2021,4788.00,217,342
Jan Morforth,USA,White Choc,3/29/2021,9604.00,201,565
Mallorie Waber,New Zealand,Drinking Coco,3/29/2021,616.00,181,24
Oby Sorrel,USA,50% Dark Bites,3/29/2021,7644.00,4,695
Kaine Padly,India,50% Dark Bites,3/29/2021,4193.00,153,263
Madelene Upcott,Australia,Mint Chip Choco,3/29/2021,6132.00,183,307
Oby Sorrel,New Zealand,Smooth Sliky Salty,3/29/2021,7896.00,302,376
Jehu Rudeforth,New Zealand,Organic Choco Syrup,3/29/2021,2576.00,332,96
Jan Morforth,India,Raspberry Choco,3/29/2021,2821.00,197,157
Kaine Padly,Australia,After Nines,3/29/2021,12103.00,88,485
Dennison Crosswaite,Canada,Smooth Sliky Salty,3/29/2021,5271.00,330,377
Karlen McCaffrey,USA,Baker's Choco Chips,3/29/2021,5117.00,66,512
Ches Bonnell,UK,Orange Choco,3/30/2021,4767.00,232,434
Wilone O'Kielt,India,Caramel Stuffed Bars,3/30/2021,20076.00,29,670
Camilla Castle,New Zealand,Eclairs,3/30/2021,2583.00,206,185
Oby Sorrel,New Zealand,Orange Choco,3/30/2021,14210.00,39,2030
Barr Faughny,Canada,Baker's Choco Chips,3/30/2021,4403.00,25,315
Gunar Cockshoot,Australia,Spicy Special Slims,3/30/2021,12985.00,279,619
Dotty Strutley,Canada,85% Dark Bars,3/30/2021,1358.00,63,68
Barr Faughny,India,Baker's Choco Chips,3/30/2021,203.00,330,19
Curtice Advani,Australia,Eclairs,3/30/2021,1281.00,275,99
Jehu Rudeforth,Australia,Organic Choco Syrup,3/30/2021,13475.00,119,539
Beverie Moffet,UK,White Choc,3/30/2021,1547.00,200,119
Wilone O'Kielt,India,Almond Choco,3/31/2021,6013.00,217,317
Oby Sorrel,Australia,70% Dark Bites,3/31/2021,10703.00,21,1071
Brien Boise,Canada,After Nines,3/31/2021,7630.00,236,306
Mallorie Waber,USA,Eclairs,3/31/2021,5369.00,251,384
Gunar Cockshoot,Australia,Choco Coated Almonds,3/31/2021,7917.00,115,360
Dennison Crosswaite,Australia,Eclairs,3/31/2021,259.00,116,17
Brien Boise,USA,Organic Choco Syrup,4/1/2021,3115.00,22,112
Dotty Strutley,UK,Eclairs,4/1/2021,10731.00,117,537
Madelene Upcott,UK,Eclairs,4/1/2021,2352.00,21,181
Gunar Cockshoot,USA,99% Dark & Pure,4/1/2021,5138.00,51,303
Rafaelita Blaksland,India,Orange Choco,4/1/2021,1428.00,194,102
Kaine Padly,Australia,85% Dark Bars,4/1/2021,3598.00,17,157
Wilone O'Kielt,Australia,Eclairs,4/1/2021,10528.00,21,555
Kelci Walkden,Canada,After Nines,4/2/2021,2100.00,242,70
Mallorie Waber,India,Milk Bars,4/2/2021,6797.00,218,262
Dotty Strutley,USA,Caramel Stuffed Bars,4/2/2021,6202.00,52,249
Gigi Bohling,Australia,Milk Bars,4/2/2021,8001.00,4,348
Ches Bonnell,USA,Mint Chip Choco,4/2/2021,13832.00,294,814
Jan Morforth,USA,70% Dark Bites,4/2/2021,1568.00,181,121
Jan Morforth,UK,Drinking Coco,4/2/2021,3129.00,127,112
Gigi Bohling,Australia,After Nines,4/2/2021,6944.00,2,278
Dotty Strutley,UK,Organic Choco Syrup,4/2/2021,7672.00,17,265
Ches Bonnell,UK,99% Dark & Pure,4/2/2021,4137.00,200,197
Dotty Strutley,USA,Almond Choco,4/2/2021,1365.00,155,72
Karlen McCaffrey,New Zealand,Raspberry Choco,4/2/2021,7238.00,381,453
Dotty Strutley,New Zealand,Almond Choco,4/2/2021,10500.00,355,457
Madelene Upcott,USA,Smooth Sliky Salty,4/2/2021,6790.00,129,453
Dotty Strutley,India,70% Dark Bites,4/2/2021,7203.00,63,515
Jehu Rudeforth,India,Baker's Choco Chips,4/2/2021,6202.00,86,443
Dennison Crosswaite,USA,White Choc,4/5/2021,8351.00,1,696
Roddy Speechley,India,70% Dark Bites,4/5/2021,980.00,437,109
Husein Augar,Australia,85% Dark Bars,4/5/2021,12908.00,182,562
Andria Kimpton,Canada,70% Dark Bites,4/5/2021,4473.00,302,320
Wilone O'Kielt,India,Manuka Honey Choco,4/6/2021,3066.00,155,93
Marney O'Breen,India,Drinking Coco,4/6/2021,4053.00,329,177
Wilone O'Kielt,UK,99% Dark & Pure,4/6/2021,3024.00,155,152
Jan Morforth,Australia,Organic Choco Syrup,4/7/2021,2100.00,147,68
Oby Sorrel,Australia,Spicy Special Slims,4/7/2021,2555.00,156,112
Andria Kimpton,UK,Organic Choco Syrup,4/7/2021,6559.00,208,243
Beverie Moffet,Canada,Eclairs,4/7/2021,8176.00,183,390
Wilone O'Kielt,UK,Almond Choco,4/7/2021,17675.00,197,884
Madelene Upcott,Australia,Baker's Choco Chips,4/7/2021,11004.00,175,1223
Camilla Castle,New Zealand,Milk Bars,4/7/2021,2233.00,292,77
Gigi Bohling,USA,Milk Bars,4/7/2021,16359.00,14,712
Curtice Advani,UK,70% Dark Bites,4/7/2021,3192.00,21,228
Dotty Strutley,Canada,Eclairs,4/7/2021,5313.00,275,380
Beverie Moffet,Canada,Raspberry Choco,4/7/2021,1841.00,223,97
Dennison Crosswaite,UK,Spicy Special Slims,4/7/2021,9884.00,13,396
Wilone O'Kielt,New Zealand,White Choc,4/7/2021,3066.00,268,205
Andria Kimpton,Canada,Manuka Honey Choco,4/7/2021,11207.00,254,362
Husein Augar,India,50% Dark Bites,4/7/2021,6321.00,86,452
Brien Boise,India,Orange Choco,4/7/2021,5299.00,62,663
Dennison Crosswaite,Australia,Choco Coated Almonds,4/8/2021,11578.00,63,552
Camilla Castle,India,99% Dark & Pure,4/8/2021,4298.00,201,239
Marney O'Breen,Australia,Baker's Choco Chips,4/8/2021,9548.00,17,682
Brien Boise,New Zealand,Spicy Special Slims,4/8/2021,5663.00,25,236
Brien Boise,UK,Spicy Special Slims,4/8/2021,329.00,260,15
Brien Boise,New Zealand,Mint Chip Choco,4/8/2021,9275.00,165,489
Karlen McCaffrey,Australia,After Nines,4/8/2021,77.00,133,3
Brien Boise,India,Raspberry Choco,4/8/2021,4256.00,110,224
Van Tuxwell,UK,Almond Choco,4/9/2021,4018.00,413,237
Kelci Walkden,UK,Mint Chip Choco,4/9/2021,6699.00,138,479
Roddy Speechley,USA,85% Dark Bars,4/9/2021,4571.00,17,241
Gigi Bohling,Australia,85% Dark Bars,4/9/2021,4193.00,79,200
Madelene Upcott,USA,Orange Choco,4/9/2021,392.00,175,28
Husein Augar,UK,Almond Choco,4/9/2021,3192.00,18,146
Gigi Bohling,Canada,Peanut Butter Cubes,4/9/2021,154.00,48,7
Curtice Advani,UK,Drinking Coco,4/9/2021,5502.00,112,212
Dotty Strutley,UK,Orange Choco,4/9/2021,4389.00,365,439
Ches Bonnell,Australia,99% Dark & Pure,4/9/2021,12215.00,120,764
Jan Morforth,UK,Orange Choco,4/9/2021,1960.00,50,140
Van Tuxwell,India,Fruit & Nut Bars,4/9/2021,994.00,389,77
Beverie Moffet,New Zealand,Spicy Special Slims,4/9/2021,3731.00,41,150
Jehu Rudeforth,USA,Peanut Butter Cubes,4/12/2021,11851.00,45,456
Madelene Upcott,New Zealand,Manuka Honey Choco,4/12/2021,7798.00,77,289
Brien Boise,New Zealand,99% Dark & Pure,4/12/2021,658.00,82,32
Madelene Upcott,India,Baker's Choco Chips,4/12/2021,18963.00,191,1355
Brien Boise,India,99% Dark & Pure,4/12/2021,574.00,383,34
Karlen McCaffrey,Canada,Manuka Honey Choco,4/12/2021,763.00,47,28
Marney O'Breen,Canada,50% Dark Bites,4/12/2021,1295.00,218,108
Karlen McCaffrey,USA,Spicy Special Slims,4/12/2021,1281.00,349,61
Beverie Moffet,Canada,Baker's Choco Chips,4/12/2021,6657.00,364,606
Marney O'Breen,Canada,Mint Chip Choco,4/12/2021,1533.00,129,110
Mallorie Waber,UK,99% Dark & Pure,4/12/2021,2534.00,36,121
Van Tuxwell,USA,White Choc,4/12/2021,3808.00,74,224
Andria Kimpton,New Zealand,99% Dark & Pure,4/12/2021,7637.00,90,425
Karlen McCaffrey,Canada,50% Dark Bites,4/13/2021,5397.00,37,416
Barr Faughny,Australia,Organic Choco Syrup,4/13/2021,5649.00,97,202
Oby Sorrel,Canada,Drinking Coco,4/13/2021,2996.00,136,116
Wilone O'Kielt,Australia,Organic Choco Syrup,4/13/2021,2247.00,351,87
Andria Kimpton,USA,Orange Choco,4/13/2021,1092.00,136,84
Jan Morforth,India,Mint Chip Choco,4/13/2021,4368.00,23,292
Barr Faughny,Canada,White Choc,4/13/2021,868.00,90,87
Kaine Padly,USA,Milk Bars,4/13/2021,8729.00,35,364
Jan Morforth,USA,99% Dark & Pure,4/13/2021,2065.00,17,130
Kaine Padly,New Zealand,99% Dark & Pure,4/13/2021,6293.00,48,274
Gigi Bohling,New Zealand,70% Dark Bites,4/13/2021,7602.00,247,761
Marney O'Breen,Canada,Almond Choco,4/13/2021,10150.00,223,598
Brien Boise,UK,Almond Choco,4/13/2021,11081.00,311,739
Dotty Strutley,USA,Raspberry Choco,4/13/2021,588.00,41,27
Jehu Rudeforth,UK,70% Dark Bites,4/13/2021,3710.00,129,413
Roddy Speechley,New Zealand,Raspberry Choco,4/14/2021,371.00,121,27
Mallorie Waber,New Zealand,85% Dark Bars,4/14/2021,2254.00,69,119
Karlen McCaffrey,Australia,Peanut Butter Cubes,4/14/2021,2345.00,70,112
Barr Faughny,Australia,50% Dark Bites,4/14/2021,18473.00,6,2053
Wilone O'Kielt,USA,Organic Choco Syrup,4/14/2021,1680.00,26,58
Rafaelita Blaksland,USA,85% Dark Bars,4/14/2021,4508.00,16,215
Dennison Crosswaite,Australia,Raspberry Choco,4/15/2021,8463.00,284,385
Beverie Moffet,India,Baker's Choco Chips,4/15/2021,931.00,269,117
Jan Morforth,Canada,Eclairs,4/15/2021,12460.00,197,623
Dennison Crosswaite,Australia,Milk Bars,4/15/2021,868.00,78,37
Mallorie Waber,UK,Manuka Honey Choco,4/15/2021,301.00,117,13
Brien Boise,India,Baker's Choco Chips,4/15/2021,434.00,116,37
Rafaelita Blaksland,UK,Peanut Butter Cubes,4/15/2021,2058.00,2,115
Camilla Castle,Canada,White Choc,4/15/2021,9597.00,167,873
Marney O'Breen,India,Almond Choco,4/16/2021,13314.00,198,784
Mallorie Waber,UK,Baker's Choco Chips,4/16/2021,630.00,106,70
Wilone O'Kielt,USA,Raspberry Choco,4/16/2021,8918.00,31,446
Kelci Walkden,India,Manuka Honey Choco,4/16/2021,7133.00,446,223
Van Tuxwell,Australia,Fruit & Nut Bars,4/16/2021,1638.00,106,97
Marney O'Breen,India,50% Dark Bites,4/16/2021,8253.00,262,551
Dennison Crosswaite,India,Milk Bars,4/16/2021,5950.00,30,192
Jan Morforth,New Zealand,50% Dark Bites,4/16/2021,7000.00,5,875
Kelci Walkden,Canada,Organic Choco Syrup,4/16/2021,2030.00,162,89
Van Tuxwell,India,Almond Choco,4/16/2021,8337.00,306,439
Gunar Cockshoot,India,Milk Bars,4/16/2021,1876.00,171,79
Andria Kimpton,Canada,Eclairs,4/16/2021,9352.00,293,446
Dennison Crosswaite,India,50% Dark Bites,4/16/2021,5621.00,154,625
Gunar Cockshoot,India,Orange Choco,4/16/2021,6062.00,12,674
Rafaelita Blaksland,USA,Raspberry Choco,4/16/2021,5054.00,154,266
Brien Boise,USA,After Nines,4/16/2021,7581.00,239,237
Jan Morforth,USA,Spicy Special Slims,4/16/2021,7763.00,125,353
Dotty Strutley,Australia,White Choc,4/16/2021,9387.00,181,626
Barr Faughny,Canada,85% Dark Bars,4/16/2021,966.00,163,57
Karlen McCaffrey,India,Almond Choco,4/16/2021,5278.00,27,278
Beverie Moffet,New Zealand,White Choc,4/16/2021,18354.00,275,1669
Marney O'Breen,India,Spicy Special Slims,4/16/2021,1330.00,161,61
Roddy Speechley,Canada,Eclairs,4/16/2021,1155.00,91,83
Rafaelita Blaksland,USA,Orange Choco,4/16/2021,4669.00,101,667
Ches Bonnell,Canada,Fruit & Nut Bars,4/16/2021,4676.00,25,293
Husein Augar,USA,After Nines,4/16/2021,602.00,19,21
Jehu Rudeforth,Australia,99% Dark & Pure,4/19/2021,13090.00,133,770
Kelci Walkden,Australia,Drinking Coco,4/19/2021,11928.00,159,459
Andria Kimpton,Australia,After Nines,4/19/2021,4634.00,244,145
Dennison Crosswaite,UK,Smooth Sliky Salty,4/19/2021,5292.00,72,252
Beverie Moffet,UK,Peanut Butter Cubes,4/19/2021,9065.00,56,378
Wilone O'Kielt,UK,Spicy Special Slims,4/19/2021,12299.00,338,560
Husein Augar,New Zealand,Manuka Honey Choco,4/19/2021,6818.00,172,273
Dennison Crosswaite,New Zealand,Smooth Sliky Salty,4/19/2021,3773.00,81,252
Jan Morforth,UK,50% Dark Bites,4/19/2021,5138.00,82,367
Andria Kimpton,Australia,Smooth Sliky Salty,4/19/2021,4557.00,20,269
Barr Faughny,Australia,Almond Choco,4/19/2021,2751.00,128,138
Madelene Upcott,Australia,70% Dark Bites,4/19/2021,10906.00,8,779
Oby Sorrel,USA,Choco Coated Almonds,4/19/2021,5621.00,7,256
Jan Morforth,USA,85% Dark Bars,4/20/2021,2471.00,64,155
Gigi Bohling,USA,White Choc,4/20/2021,6139.00,9,410
Karlen McCaffrey,USA,Drinking Coco,4/20/2021,2807.00,151,128
Madelene Upcott,Australia,Raspberry Choco,4/20/2021,8169.00,142,454
Jan Morforth,Australia,Mint Chip Choco,4/20/2021,8785.00,280,586
Barr Faughny,New Zealand,Peanut Butter Cubes,4/20/2021,5628.00,33,256
Husein Augar,USA,White Choc,4/20/2021,1302.00,7,77
Madelene Upcott,Australia,Peanut Butter Cubes,4/20/2021,9282.00,188,387
Wilone O'Kielt,USA,Manuka Honey Choco,4/20/2021,4046.00,96,162
Jehu Rudeforth,Canada,Drinking Coco,4/20/2021,10605.00,169,442
Curtice Advani,India,50% Dark Bites,4/20/2021,5929.00,25,539
Ches Bonnell,Canada,Manuka Honey Choco,4/20/2021,2611.00,175,105
Gunar Cockshoot,India,Baker's Choco Chips,4/20/2021,7686.00,51,769
Kaine Padly,USA,White Choc,4/20/2021,2786.00,98,164
Jehu Rudeforth,India,70% Dark Bites,4/20/2021,4123.00,247,516
Rafaelita Blaksland,UK,Choco Coated Almonds,4/20/2021,1477.00,111,78
Gigi Bohling,UK,Caramel Stuffed Bars,4/20/2021,12040.00,255,416
Jan Morforth,UK,Fruit & Nut Bars,4/20/2021,4340.00,277,310
Kelci Walkden,New Zealand,Choco Coated Almonds,4/20/2021,2639.00,526,126
Dotty Strutley,New Zealand,Orange Choco,4/21/2021,7931.00,377,1322
Jan Morforth,New Zealand,Drinking Coco,4/21/2021,1078.00,298,45
Beverie Moffet,Australia,85% Dark Bars,4/21/2021,8680.00,429,362
Madelene Upcott,New Zealand,99% Dark & Pure,4/21/2021,8967.00,15,427
Dotty Strutley,USA,After Nines,4/21/2021,12075.00,258,465
Gigi Bohling,UK,Fruit & Nut Bars,4/21/2021,4396.00,68,294
Husein Augar,New Zealand,Organic Choco Syrup,4/21/2021,2877.00,84,96
Dotty Strutley,New Zealand,Raspberry Choco,4/21/2021,1659.00,291,104
Marney O'Breen,Australia,70% Dark Bites,4/21/2021,616.00,30,42
Ches Bonnell,UK,Almond Choco,4/21/2021,7021.00,124,469
Van Tuxwell,USA,70% Dark Bites,4/21/2021,3255.00,119,296
Oby Sorrel,Canada,Baker's Choco Chips,4/21/2021,5516.00,269,613
Jehu Rudeforth,UK,White Choc,4/21/2021,18039.00,148,1289
Husein Augar,UK,Manuka Honey Choco,4/21/2021,12593.00,254,394
Madelene Upcott,New Zealand,Organic Choco Syrup,4/21/2021,1981.00,28,67
Gigi Bohling,USA,Raspberry Choco,4/21/2021,6552.00,112,410
Ches Bonnell,USA,Raspberry Choco,4/21/2021,10682.00,213,629
Marney O'Breen,UK,70% Dark Bites,4/21/2021,11046.00,156,789
Jehu Rudeforth,USA,Mint Chip Choco,4/21/2021,4263.00,140,225
Barr Faughny,UK,Orange Choco,4/21/2021,5558.00,440,464
Van Tuxwell,Canada,Manuka Honey Choco,4/22/2021,4214.00,155,128
Andria Kimpton,India,85% Dark Bars,4/22/2021,7301.00,46,406
Wilone O'Kielt,Canada,70% Dark Bites,4/22/2021,4473.00,179,373
Brien Boise,New Zealand,After Nines,4/22/2021,11081.00,349,462
Roddy Speechley,New Zealand,Mint Chip Choco,4/22/2021,1120.00,274,75
Madelene Upcott,Canada,99% Dark & Pure,4/22/2021,10297.00,48,430
Oby Sorrel,UK,50% Dark Bites,4/22/2021,1869.00,343,234
Brien Boise,India,85% Dark Bars,4/22/2021,12229.00,182,644
Marney O'Breen,USA,Raspberry Choco,4/22/2021,7707.00,173,482
Dennison Crosswaite,USA,Manuka Honey Choco,4/22/2021,1351.00,150,55
Karlen McCaffrey,India,Organic Choco Syrup,4/22/2021,7035.00,185,252
Barr Faughny,New Zealand,Drinking Coco,4/22/2021,3178.00,323,114
Brien Boise,New Zealand,70% Dark Bites,4/22/2021,3668.00,336,408
Kaine Padly,Canada,Orange Choco,4/22/2021,15295.00,160,1700
Madelene Upcott,USA,Manuka Honey Choco,4/22/2021,9667.00,227,323
Oby Sorrel,Australia,Almond Choco,4/22/2021,7308.00,171,488
Kaine Padly,USA,Raspberry Choco,4/22/2021,6888.00,18,328
Van Tuxwell,India,99% Dark & Pure,4/22/2021,1085.00,183,46
Jan Morforth,New Zealand,Peanut Butter Cubes,4/22/2021,3549.00,492,148
Kelci Walkden,New Zealand,Orange Choco,4/23/2021,245.00,365,21
Wilone O'Kielt,Australia,Choco Coated Almonds,4/23/2021,525.00,166,24
Camilla Castle,New Zealand,Manuka Honey Choco,4/23/2021,9373.00,200,313
Dennison Crosswaite,USA,99% Dark & Pure,4/23/2021,3822.00,155,225
Dotty Strutley,India,Mint Chip Choco,4/23/2021,4326.00,123,206
Mallorie Waber,Australia,Eclairs,4/23/2021,427.00,428,23
Oby Sorrel,Canada,Almond Choco,4/23/2021,12236.00,61,816
Gigi Bohling,New Zealand,85% Dark Bars,4/23/2021,4655.00,124,259
Husein Augar,New Zealand,99% Dark & Pure,4/23/2021,1246.00,359,78
Kaine Padly,New Zealand,Caramel Stuffed Bars,4/23/2021,11291.00,206,452
Gigi Bohling,India,50% Dark Bites,4/26/2021,5530.00,45,395
Gunar Cockshoot,Canada,White Choc,4/26/2021,7658.00,233,851
Rafaelita Blaksland,USA,Mint Chip Choco,4/26/2021,1204.00,199,67
Mallorie Waber,Canada,Organic Choco Syrup,4/26/2021,7238.00,19,250
Gunar Cockshoot,Australia,After Nines,4/26/2021,2359.00,284,91
Marney O'Breen,USA,Mint Chip Choco,4/26/2021,4676.00,96,234
Beverie Moffet,USA,Choco Coated Almonds,4/26/2021,4893.00,229,233
Karlen McCaffrey,UK,Choco Coated Almonds,4/26/2021,5152.00,133,258
Andria Kimpton,Australia,Manuka Honey Choco,4/27/2021,3808.00,376,142
Andria Kimpton,Canada,Peanut Butter Cubes,4/27/2021,6538.00,182,273
Dotty Strutley,UK,White Choc,4/27/2021,3486.00,295,249
Barr Faughny,Australia,After Nines,4/27/2021,4865.00,94,174
Van Tuxwell,UK,White Choc,4/27/2021,4606.00,74,384
Jehu Rudeforth,New Zealand,Caramel Stuffed Bars,4/27/2021,35.00,380,2
Gunar Cockshoot,UK,Smooth Sliky Salty,4/27/2021,6069.00,304,304
Barr Faughny,India,Caramel Stuffed Bars,4/27/2021,21.00,117,1
Gigi Bohling,New Zealand,Milk Bars,4/27/2021,8071.00,16,299
Husein Augar,USA,70% Dark Bites,4/27/2021,2716.00,267,194
Kelci Walkden,India,Orange Choco,4/27/2021,7574.00,136,842
Oby Sorrel,UK,Mint Chip Choco,4/27/2021,931.00,48,52
Mallorie Waber,New Zealand,Raspberry Choco,4/27/2021,9499.00,141,500
Van Tuxwell,India,Orange Choco,4/27/2021,350.00,167,25
Barr Faughny,UK,Almond Choco,4/27/2021,371.00,437,20
Karlen McCaffrey,UK,Caramel Stuffed Bars,4/27/2021,10367.00,156,432
Andria Kimpton,Canada,85% Dark Bars,4/27/2021,9597.00,129,600
Rafaelita Blaksland,Australia,99% Dark & Pure,4/27/2021,2443.00,379,102
Wilone O'Kielt,UK,Manuka Honey Choco,4/27/2021,3556.00,75,123
Rafaelita Blaksland,New Zealand,Drinking Coco,4/27/2021,2457.00,261,82
Wilone O'Kielt,UK,White Choc,4/27/2021,16170.00,71,952
Gigi Bohling,New Zealand,Spicy Special Slims,4/27/2021,8456.00,178,302
Ches Bonnell,New Zealand,Mint Chip Choco,4/27/2021,28.00,147,2
Dennison Crosswaite,USA,85% Dark Bars,4/27/2021,10794.00,118,450
Madelene Upcott,New Zealand,Choco Coated Almonds,4/27/2021,7539.00,10,444
Barr Faughny,UK,Caramel Stuffed Bars,4/28/2021,2982.00,102,120
Madelene Upcott,USA,Mint Chip Choco,4/28/2021,6237.00,73,347
Karlen McCaffrey,Canada,White Choc,4/28/2021,11564.00,28,1285
Kelci Walkden,New Zealand,Mint Chip Choco,4/28/2021,105.00,73,7
Gunar Cockshoot,India,Organic Choco Syrup,4/29/2021,10402.00,33,417
Karlen McCaffrey,Australia,Fruit & Nut Bars,4/29/2021,20993.00,411,1235
Kaine Padly,UK,99% Dark & Pure,4/29/2021,7658.00,190,383
Camilla Castle,Canada,Mint Chip Choco,4/29/2021,1981.00,235,105
Camilla Castle,Canada,Orange Choco,4/29/2021,4816.00,64,402
Andria Kimpton,India,Peanut Butter Cubes,4/29/2021,3661.00,287,147
Andria Kimpton,India,Spicy Special Slims,4/29/2021,2688.00,580,128
Barr Faughny,Australia,Manuka Honey Choco,4/29/2021,2534.00,159,80
Ches Bonnell,UK,Mint Chip Choco,4/29/2021,1820.00,81,91
Jan Morforth,USA,Choco Coated Almonds,4/29/2021,5432.00,107,388
Kelci Walkden,USA,99% Dark & Pure,4/30/2021,7189.00,117,400
Jan Morforth,New Zealand,Milk Bars,4/30/2021,6188.00,18,207
Curtice Advani,USA,Caramel Stuffed Bars,4/30/2021,3283.00,260,150
Mallorie Waber,Canada,50% Dark Bites,4/30/2021,6524.00,275,502
Kaine Padly,Australia,Manuka Honey Choco,4/30/2021,5180.00,32,192
Andria Kimpton,Australia,Baker's Choco Chips,4/30/2021,12838.00,241,803
Dennison Crosswaite,New Zealand,Milk Bars,4/30/2021,4648.00,114,194
Ches Bonnell,Australia,Peanut Butter Cubes,4/30/2021,3031.00,263,127
Barr Faughny,Australia,Smooth Sliky Salty,4/30/2021,10990.00,152,785
Andria Kimpton,New Zealand,Fruit & Nut Bars,4/30/2021,1078.00,470,72
Andria Kimpton,Canada,White Choc,4/30/2021,8218.00,114,822
Jehu Rudeforth,USA,Baker's Choco Chips,4/30/2021,10381.00,16,944
Gunar Cockshoot,Australia,Milk Bars,4/30/2021,1085.00,196,41
Gunar Cockshoot,Australia,Baker's Choco Chips,4/30/2021,3052.00,22,191
Brien Boise,Australia,Milk Bars,5/3/2021,4214.00,148,151
Husein Augar,Australia,70% Dark Bites,5/3/2021,3178.00,42,245
Jan Morforth,Australia,70% Dark Bites,5/3/2021,3066.00,194,384
Beverie Moffet,India,Fruit & Nut Bars,5/3/2021,9485.00,99,949
Karlen McCaffrey,Canada,Raspberry Choco,5/3/2021,3955.00,2,264
Roddy Speechley,UK,Almond Choco,5/3/2021,6538.00,69,312
Kaine Padly,New Zealand,Milk Bars,5/3/2021,10178.00,9,329
Madelene Upcott,USA,Caramel Stuffed Bars,5/3/2021,7882.00,197,359
Curtice Advani,Australia,Mint Chip Choco,5/3/2021,5943.00,285,372
Curtice Advani,UK,50% Dark Bites,5/3/2021,4088.00,319,256
Kaine Padly,India,Spicy Special Slims,5/3/2021,749.00,266,28
Van Tuxwell,India,Milk Bars,5/3/2021,13958.00,185,451
Kaine Padly,India,Almond Choco,5/3/2021,5901.00,385,296
Camilla Castle,New Zealand,50% Dark Bites,5/3/2021,6342.00,64,793
Kelci Walkden,USA,White Choc,5/3/2021,315.00,335,19
Gunar Cockshoot,Canada,Baker's Choco Chips,5/3/2021,147.00,84,14
Kelci Walkden,USA,After Nines,5/3/2021,10213.00,217,365
Beverie Moffet,USA,85% Dark Bars,5/3/2021,8484.00,398,386
Kaine Padly,Canada,Eclairs,5/3/2021,532.00,78,26
Madelene Upcott,UK,Raspberry Choco,5/3/2021,8785.00,155,550
Gigi Bohling,India,Smooth Sliky Salty,5/3/2021,8001.00,203,572
Mallorie Waber,India,Orange Choco,5/3/2021,364.00,234,37
Dennison Crosswaite,India,Fruit & Nut Bars,5/3/2021,2331.00,158,138
Beverie Moffet,USA,50% Dark Bites,5/3/2021,7665.00,93,480
Roddy Speechley,Australia,Smooth Sliky Salty,5/3/2021,2905.00,341,224
Roddy Speechley,UK,85% Dark Bars,5/3/2021,6230.00,426,260
Dennison Crosswaite,New Zealand,50% Dark Bites,5/3/2021,2758.00,51,345
Barr Faughny,India,70% Dark Bites,5/3/2021,2352.00,136,181
Dennison Crosswaite,UK,Organic Choco Syrup,5/3/2021,2779.00,53,93
Gigi Bohling,New Zealand,Manuka Honey Choco,5/3/2021,7.00,551,1
Brien Boise,Australia,Drinking Coco,5/4/2021,3213.00,142,111
Oby Sorrel,New Zealand,Raspberry Choco,5/4/2021,9275.00,3,489
Gigi Bohling,New Zealand,Raspberry Choco,5/4/2021,4368.00,87,199
Rafaelita Blaksland,New Zealand,Spicy Special Slims,5/4/2021,10633.00,14,409
Ches Bonnell,India,Raspberry Choco,5/4/2021,11319.00,66,708
Gunar Cockshoot,Canada,Smooth Sliky Salty,5/4/2021,8799.00,126,518
Madelene Upcott,USA,Spicy Special Slims,5/4/2021,2695.00,49,104
Dennison Crosswaite,UK,White Choc,5/4/2021,245.00,224,25
Mallorie Waber,New Zealand,Baker's Choco Chips,5/4/2021,3647.00,85,406
Dennison Crosswaite,India,Manuka Honey Choco,5/4/2021,6412.00,31,257
Husein Augar,New Zealand,Peanut Butter Cubes,5/4/2021,2905.00,149,112
Dennison Crosswaite,Canada,After Nines,5/4/2021,13650.00,235,427
Kaine Padly,India,Choco Coated Almonds,5/4/2021,623.00,9,37
Dennison Crosswaite,Canada,70% Dark Bites,5/4/2021,5131.00,196,514
Dennison Crosswaite,New Zealand,Orange Choco,5/4/2021,8722.00,146,970
Jehu Rudeforth,UK,Baker's Choco Chips,5/5/2021,1211.00,53,87
